"loyalty_number","total_months","total_years","total_flights","distance","points_accumulated","points_redeemed","dollar_cost_points_redeemed","country","province","city","postal_code","gender","education","salary","marital_status","loyalty_card","clv","enrollment_type","enrollment_year","enrollment_month","cancellation_year","cancellation_month","churned","log_dollar_cost_points_redeemed","log_points_accumulated","log_points_redeemed","log_distance","log_salary","log_clv","sqrt_total_flights"
100018,24,2,46,81190,81190,1513,272,"Canada","Alberta","Edmonton","T9G1W3","Female","Bachelor",92552,"Married","Aurora",7919.2,"Standard",2016,8,0,0,0,5.60947179518496,11.3045596825684,7.32251043399739,11.3045596825684,11.4355367323872,8.97717173701488,1.96217929907286
100214,24,2,22,38236,38236,861,155,"Canada","British Columbia","Vancouver","V5R1W3","Male","Bachelor",63253,"Married","Star",4170.57,"Standard",2015,8,0,0,0,5.04985600724954,10.551558912205,6.75925527066369,10.551558912205,11.0549136456969,8.33604774273592,1.7707326777154
100272,24,2,37,54997,54997,1007,182,"Canada","Ontario","Toronto","P1L8X8","Female","Bachelor",91163,"Divorced","Star",6622.05,"Standard",2014,1,0,0,0,5.20948615284142,10.9150520999171,6.91572344863131,10.9150520999171,11.4204153612912,8.79831126790537,1.9072456998841
100301,24,2,41,62849,62849,1381,249,"Canada","Ontario","Toronto","P1J8T7","Male","Bachelor",70323,"Divorced","Nova",48356.96,"Standard",2013,9,0,0,0,5.52146091786225,11.0485062140184,7.23128700432762,11.0485062140184,11.1608684135627,10.7863861202161,1.93330536084794
100364,24,2,33,45955,45955,559,101,"Canada","Saskatchewan","Regina","S6J3G0","Male","Bachelor",76849,"Married","Nova",5143.88,"Standard",2015,5,0,0,0,4.62497281328427,10.7354396959733,6.3279367837292,10.7354396959733,11.2496107489667,8.54575732438099,1.87786062438514
100380,24,2,33,55270,55270,1142,206,"Canada","Quebec","Montreal","H2T9K8","Female","Bachelor",69695,"Single","Star",2465.62,"Standard",2012,10,0,0,0,5.33271879326537,10.9200036376616,7.04141166379481,10.9200036376616,11.1518982062926,7.81060407142627,1.87786062438514
100428,24,2,35,58281,58281,1658,298,"Canada","British Columbia","Vancouver","V6E3D9","Male","Bachelor",63478,"Married","Aurora",5845.43,"Standard",2012,8,0,0,0,5.70044357339069,10.9730485768102,7.41397029019044,10.9730485768102,11.0584644215232,8.67358649753341,1.89301847282485
100504,24,2,19,27837,27837,0,0,"Canada","Ontario","Sudbury","M5V1G5","Female","Bachelor",75638,"Divorced","Nova",8807.61,"Standard",2017,7,2018,3,1,0,10.2341572727873,0,10.2341572727873,11.2337273021668,9.08348493122701,1.73081838260229
100550,24,2,42,51687,51687,1114,201,"Canada","Quebec","Montreal","H2Y4R4","Female","Bachelor",54133,"Married","Nova",7861.8,"Standard",2013,2,0,0,0,5.3082676974012,10.852980925238,7.01660968389422,10.852980925238,10.8992177332367,8.96989805608364,1.93938137448351
100585,24,2,41,68112,68112,2397,432,"Canada","Manitoba","Winnipeg","R2C0M5","Male","Bachelor",96269,"Divorced","Star",7334.33,"Standard",2013,11,0,0,0,6.07073772800249,11.1289233696609,7.78239033558746,11.1289233696609,11.474912022772,8.90045767934012,1.93330536084794
100590,11,1,28,30948,46422,512,92,"Canada","British Columbia","Vancouver","V6E3Z3","Female","Bachelor",69841,"Married","Star",34090.04,"2018 Promotion",2018,3,0,0,0,4.53259949315326,10.745550305056,6.24027584517077,10.3400959674131,11.1539908269878,10.4367898721468,1.83501929962234
100642,24,2,36,53386,53386,502,90,"Canada","Quebec","Quebec City","G1B3L5","Female","Bachelor",51667,"Married","Nova",4892.63,"Standard",2012,5,0,0,0,4.51085950651685,10.8853225496177,6.22059017009974,10.8853225496177,10.8525939133519,8.49568963836567,1.90024154060588
100644,24,2,29,45939,45939,2277,410,"Canada","Alberta","Peace River","T9O2W2","Female","Master",94440,"Divorced","Star",4458.11,"Standard",2015,7,0,0,0,6.01859321449623,10.7350914762431,7.73105314400713,10.7350914762431,11.455730579877,8.40270447353154,1.84423354856758
100646,24,2,30,41715,41715,559,101,"Canada","Newfoundland","St. John's","A1C6H9","Female","Bachelor",101933,"Married","Star",2471.53,"Standard",2015,10,0,0,0,4.62497281328427,10.6386400272411,6.3279367837292,10.6386400272411,11.53208082401,7.81299719689141,1.85310204912874
100727,24,2,48,75593,75593,1570,283,"Canada","Quebec","Tremblant","H5Y2S9","Male","Master",128118,"Married","Nova",3873.65,"Standard",2014,3,0,0,0,5.64897423816121,11.2331321939387,7.35946763825562,11.2331321939387,11.76071479851,8.26221061512747,1.97276970224875
100753,24,2,51,64171,64171,750,135,"Canada","Quebec","Quebec City","G1B3L5","Male","Bachelor",47717,"Divorced","Star",2534.31,"Standard",2015,10,0,0,0,4.91265488573605,11.069322257471,6.62140565176413,11.069322257471,10.7730639641852,7.83807119651716,1.98777355817543
100816,24,2,31,47653,47653,0,0,"Canada","Ontario","Ottawa","K1F2R2","Female","Master",97497,"Divorced","Aurora",6273.91,"Standard",2013,3,0,0,0,0,10.7717218509946,0,10.7717218509946,11.487587143955,8.74431442126765,1.86164870552952
101018,24,2,41,71919,71919,1186,214,"Canada","Ontario","Thunder Bay","K8T5M5","Female","Bachelor",56523,"Married","Nova",4392.98,"Standard",2014,4,0,0,0,5.37063802812766,11.1833096691455,7.07918439460967,11.1833096691455,10.9424206057026,8.38799070127284,1.93330536084794
101148,24,2,30,47570,47570,714,129,"Canada","British Columbia","West Vancouver","V6V8Z3","Female","High School or Below",45229,"Single","Nova",4770.55,"Standard",2012,11,0,0,0,4.86753445045558,10.7699786108577,6.57228254269401,10.7699786108577,10.7195158624719,8.47042647868745,1.85310204912874
101356,24,2,0,0,0,0,0,"Canada","Ontario","Toronto","M2M7K8","Male","Bachelor",50688,"Married","Nova",7482.64,"Standard",2012,11,0,0,0,0,0,0,0,10.8334642035148,8.92047458361809,0
101363,24,2,31,50697,50697,1760,317,"Canada","New Brunswick","Fredericton","E3B2H2","Female","Bachelor",59310,"Married","Star",12898.59,"Standard",2016,4,0,0,0,5.76205138278018,10.8336417410694,7.47363710849621,10.8336417410694,10.9905500652538,9.46495080689894,1.86164870552952
101487,24,2,56,72589,72589,2912,525,"Canada","Quebec","Montreal","H2Y2W2","Male","Bachelor",91817,"Married","Aurora",14024.36,"Standard",2012,12,0,0,0,6.26530121273771,11.1925824502789,7.97693875695943,11.1925824502789,11.4275636358191,9.54862239851067,2.01073401220414
101515,24,2,29,50433,50433,2043,368,"Canada","New Brunswick","Fredericton","E3B2H2","Male","Bachelor",68711,"Married","Nova",7737.27,"Standard",2014,1,0,0,0,5.91079664404053,10.8284208297916,7.6226639513236,10.8284208297916,11.1376791354461,8.95393342738886,1.84423354856758
101540,24,2,30,49094,49094,931,168,"Canada","Ontario","London","M5B3E4","Female","Bachelor",69020,"Single","Star",2688.88,"Standard",2017,5,0,0,0,5.12989871492307,10.8015124756034,6.83733281468559,10.8015124756034,11.1421660851011,7.89725186193542,1.85310204912874
101544,24,2,40,61432,61432,1722,310,"Canada","Quebec","Montreal","H2Y2W2","Female","Bachelor",56531,"Married","Nova",24249.34,"Standard",2014,4,0,0,0,5.73979291217923,11.0257024290391,7.45182223652793,11.0257024290391,10.942562128488,10.0961859168859,1.92706306765095
101581,24,2,36,49542,49542,1104,199,"Canada","Ontario","Toronto","P5S6R4","Male","Bachelor",87781,"Married","Star",4595.46,"Standard",2012,10,0,0,0,5.29831736654804,10.8105962583354,7.00760061395185,10.8105962583354,11.382611747216,8.43304172099248,1.90024154060588
101594,24,2,43,58229,58229,1319,237,"Canada","Ontario","Toronto","P2T6G3","Male","Doctor",239867,"Divorced","Star",5205.75,"Standard",2015,8,0,0,0,5.47227067367148,10.9721559648312,7.18538701558042,10.9721559648312,12.3878440510186,8.55771113971913,1.94529936871379
101644,24,2,2,2974,2974,0,0,"Canada","Ontario","Toronto","P1L8X8","Female","Master",101038,"Married","Star",8382.63,"Standard",2018,11,0,0,0,0,7.99799931797973,0,7.99799931797973,11.5232618599049,9.0340362739076,1.0481470739682
101663,24,2,41,60109,60109,961,173,"Canada","Ontario","Toronto","M2M7K8","Male","Bachelor",94946,"Married","Aurora",5129.74,"Standard",2016,9,0,0,0,5.15905529921453,11.0039314960332,6.86901445066571,11.0039314960332,11.4610741201647,8.54300517727452,1.93330536084794
