"loyalty_number","total_months","total_years","total_flights","distance","points_accumulated","points_redeemed","dollar_cost_points_redeemed","country","province","city","postal_code","gender","education","salary","marital_status","loyalty_card","clv","enrollment_type","enrollment_year","enrollment_month","cancellation_year","cancellation_month","churned"
"100018",24,2,46,81190,81190,1513,272,"Canada","Alberta","Edmonton","T9G1W3","Female","Bachelor",92552,"Married","Aurora",7919.2,"Standard",2016,8,0,0,0
"100102",24,2,51,68918,68918,1195,215,"Canada","Ontario","Toronto","M1R4K3","Male","College",73008,"Single","Nova",2887.74,"Standard",2013,3,0,0,0
"100140",24,2,47,72856,72856,593,107,"Canada","British Columbia","Dawson Creek","U5I4F1","Female","College",74408,"Divorced","Nova",2838.07,"Standard",2016,7,0,0,0
"100214",24,2,22,38236,38236,861,155,"Canada","British Columbia","Vancouver","V5R1W3","Male","Bachelor",63253,"Married","Star",4170.57,"Standard",2015,8,0,0,0
"100272",24,2,37,54997,54997,1007,182,"Canada","Ontario","Toronto","P1L8X8","Female","Bachelor",91163,"Divorced","Star",6622.05,"Standard",2014,1,0,0,0
"100301",24,2,41,62849,62849,1381,249,"Canada","Ontario","Toronto","P1J8T7","Male","Bachelor",70323,"Divorced","Nova",48356.96,"Standard",2013,9,0,0,0
"100364",24,2,33,45955,45955,559,101,"Canada","Saskatchewan","Regina","S6J3G0","Male","Bachelor",76849,"Married","Nova",5143.88,"Standard",2015,5,0,0,0
"100380",24,2,33,55270,55270,1142,206,"Canada","Quebec","Montreal","H2T9K8","Female","Bachelor",69695,"Single","Star",2465.62,"Standard",2012,10,0,0,0
"100428",24,2,35,58281,58281,1658,298,"Canada","British Columbia","Vancouver","V6E3D9","Male","Bachelor",63478,"Married","Aurora",5845.43,"Standard",2012,8,0,0,0
"100504",24,2,19,27837,27837,0,0,"Canada","Ontario","Sudbury","M5V1G5","Female","Bachelor",75638,"Divorced","Nova",8807.61,"Standard",2017,7,2018,3,1
"100550",24,2,42,51687,51687,1114,201,"Canada","Quebec","Montreal","H2Y4R4","Female","Bachelor",54133,"Married","Nova",7861.8,"Standard",2013,2,0,0,0
"100585",24,2,41,68112,68112,2397,432,"Canada","Manitoba","Winnipeg","R2C0M5","Male","Bachelor",96269,"Divorced","Star",7334.33,"Standard",2013,11,0,0,0
"100590",11,1,28,30948,46422,512,92,"Canada","British Columbia","Vancouver","V6E3Z3","Female","Bachelor",69841,"Married","Star",34090.04,"2018 Promotion",2018,3,0,0,0
"100642",24,2,36,53386,53386,502,90,"Canada","Quebec","Quebec City","G1B3L5","Female","Bachelor",51667,"Married","Nova",4892.63,"Standard",2012,5,0,0,0
"100644",24,2,29,45939,45939,2277,410,"Canada","Alberta","Peace River","T9O2W2","Female","Master",94440,"Divorced","Star",4458.11,"Standard",2015,7,0,0,0
"100646",24,2,30,41715,41715,559,101,"Canada","Newfoundland","St. John's","A1C6H9","Female","Bachelor",101933,"Married","Star",2471.53,"Standard",2015,10,0,0,0
"100727",24,2,48,75593,75593,1570,283,"Canada","Quebec","Tremblant","H5Y2S9","Male","Master",128118,"Married","Nova",3873.65,"Standard",2014,3,0,0,0
"100737",24,2,47,66830,66830,2357,425,"Canada","British Columbia","Vancouver","V5R1W3","Female","College",73544,"Single","Star",12786.67,"Standard",2017,4,0,0,0
"100753",24,2,51,64171,64171,750,135,"Canada","Quebec","Quebec City","G1B3L5","Male","Bachelor",47717,"Divorced","Star",2534.31,"Standard",2015,10,0,0,0
"100816",24,2,31,47653,47653,0,0,"Canada","Ontario","Ottawa","K1F2R2","Female","Master",97497,"Divorced","Aurora",6273.91,"Standard",2013,3,0,0,0
"100853",24,2,39,47403,47403,579,104,"Canada","Ontario","Trenton","K8V4B2","Male","College",75720,"Married","Star",10153.89,"Standard",2016,1,0,0,0
"100883",24,2,34,53659,53659,0,0,"Canada","Manitoba","Winnipeg","R3R3T4","Female","College",72907,"Single","Star",3561.04,"Standard",2013,6,0,0,0
"100890",24,2,27,39394,39394,1612,290,"Canada","Ontario","Toronto","P1W1K4","Female","College",73008,"Divorced","Nova",8007.4,"Standard",2014,8,0,0,0
"101018",24,2,41,71919,71919,1186,214,"Canada","Ontario","Thunder Bay","K8T5M5","Female","Bachelor",56523,"Married","Nova",4392.98,"Standard",2014,4,0,0,0
"101148",24,2,30,47570,47570,714,129,"Canada","British Columbia","West Vancouver","V6V8Z3","Female","High School or Below",45229,"Single","Nova",4770.55,"Standard",2012,11,0,0,0
"101356",24,2,0,0,0,0,0,"Canada","Ontario","Toronto","M2M7K8","Male","Bachelor",50688,"Married","Nova",7482.64,"Standard",2012,11,0,0,0
"101363",24,2,31,50697,50697,1760,317,"Canada","New Brunswick","Fredericton","E3B2H2","Female","Bachelor",59310,"Married","Star",12898.59,"Standard",2016,4,0,0,0
"101487",24,2,56,72589,72589,2912,525,"Canada","Quebec","Montreal","H2Y2W2","Male","Bachelor",91817,"Married","Aurora",14024.36,"Standard",2012,12,0,0,0
"101515",24,2,29,50433,50433,2043,368,"Canada","New Brunswick","Fredericton","E3B2H2","Male","Bachelor",68711,"Married","Nova",7737.27,"Standard",2014,1,0,0,0
"101540",24,2,30,49094,49094,931,168,"Canada","Ontario","London","M5B3E4","Female","Bachelor",69020,"Single","Star",2688.88,"Standard",2017,5,0,0,0
"101544",24,2,40,61432,61432,1722,310,"Canada","Quebec","Montreal","H2Y2W2","Female","Bachelor",56531,"Married","Nova",24249.34,"Standard",2014,4,0,0,0
"101547",24,2,17,32918,32918,576,104,"Canada","Ontario","Toronto","M2M7K8","Female","College",73008,"Married","Star",5619.69,"Standard",2017,10,0,0,0
