"","loyalty_number","country","province","city","postal_code","gender","education","salary","marital_status","loyalty_card","clv","enrollment_type","enrollment_year","enrollment_month","cancellation_year","cancellation_month"
"1",480934,"Canada","Ontario","Toronto","M2Z4K1","Female","Bachelor",83236,"Married","Star",3839.14,"Standard",2016,2,0,0
"2",549612,"Canada","Alberta","Edmonton","T3G6Y6","Male","College",0,"Divorced","Star",3839.61,"Standard",2016,3,0,0
"3",429460,"Canada","British Columbia","Vancouver","V6E3D9","Male","College",0,"Single","Star",3839.75,"Standard",2014,7,2018,1
"4",608370,"Canada","Ontario","Toronto","P1W1K4","Male","College",0,"Single","Star",3839.75,"Standard",2013,2,0,0
"5",530508,"Canada","Quebec","Hull","J8Y3Z5","Male","Bachelor",103495,"Married","Star",3842.79,"Standard",2014,10,0,0
"6",193662,"Canada","Yukon","Whitehorse","Y2K6R0","Male","Bachelor",51124,"Married","Star",3844.57,"Standard",2012,5,0,0
"7",927943,"Canada","Ontario","Toronto","P5S6R4","Female","College",0,"Single","Star",3857.95,"Standard",2014,6,0,0
"8",188893,"Canada","Ontario","Trenton","K8V4B2","Male","Bachelor",100159,"Married","Star",3861.49,"Standard",2016,12,0,0
"9",852392,"Canada","Quebec","Montreal","H2Y2W2","Female","Bachelor",100159,"Married","Star",3861.49,"Standard",2015,5,0,0
"10",866307,"Canada","Ontario","Toronto","M8Y4K8","Male","Bachelor",100159,"Married","Star",3861.49,"Standard",2016,10,0,0
"11",932823,"Canada","British Columbia","Vancouver","V6E3D9","Female","Bachelor",66444,"Married","Star",3863.31,"Standard",2015,3,0,0
"12",144514,"Canada","British Columbia","Dawson Creek","U5I4F1","Female","Bachelor",49618,"Married","Star",3864.78,"Standard",2016,6,0,0
"13",611765,"Canada","Quebec","Quebec City","G1B3L5","Male","Bachelor",90175,"Single","Star",3867.97,"Standard",2018,1,0,0
"14",988178,"Canada","Quebec","Montreal","H4G3T4","Male","College",0,"Single","Star",3871.07,"Standard",2013,10,0,0
"15",286114,"Canada","Ontario","Toronto","M2M7K8","Female","College",0,"Single","Star",3872.22,"Standard",2016,11,0,0
"16",205785,"Canada","Ontario","Toronto","M2M6J7","Male","Master",128118,"Married","Star",3873.65,"Standard",2016,8,0,0
"17",735304,"Canada","Alberta","Edmonton","T3G6Y6","Female","Master",128118,"Married","Star",3873.65,"Standard",2016,12,0,0
"18",438936,"Canada","Quebec","Montreal","H2Y2W2","Male","Bachelor",94092,"Married","Star",3878.77,"Standard",2013,10,0,0
"19",172755,"Canada","Alberta","Edmonton","T3G6Y6","Female","College",0,"Single","Aurora",5303.76,"2018 Promotion",2018,3,0,0
"20",354730,"Canada","New Brunswick","Fredericton","E3B2H2","Female","College",0,"Married","Star",3885.46,"Standard",2014,10,2018,1
"21",413741,"Canada","Ontario","Toronto","M1R4K3","Female","College",0,"Married","Star",3885.46,"Standard",2015,7,0,0
"22",552965,"Canada","Quebec","Montreal","H4G3T4","Male","College",0,"Married","Star",3885.46,"Standard",2018,11,0,0
"23",642313,"Canada","Alberta","Edmonton","T9G1W3","Male","College",0,"Married","Star",3885.46,"Standard",2016,3,0,0
"24",263080,"Canada","Alberta","Edmonton","T9G1W3","Male","College",0,"Single","Star",3886.5,"Standard",2014,5,0,0
"25",109767,"Canada","Ontario","Toronto","M1R4K3","Female","Bachelor",89062,"Single","Star",3886.65,"Standard",2016,5,0,0
"26",217754,"Canada","Quebec","Montreal","H2Y4R4","Female","Bachelor",102400,"Single","Star",3887.32,"Standard",2015,6,0,0
"27",157005,"Canada","British Columbia","Vancouver","V5R1W3","Male","Bachelor",98629,"Married","Star",3890.87,"Standard",2016,10,0,0
"28",557752,"Canada","Ontario","Toronto","P1L8X8","Female","Bachelor",98629,"Married","Star",3890.87,"Standard",2017,10,0,0
"29",608758,"Canada","Ontario","Ottawa","K1F2R2","Male","Bachelor",63795,"Married","Star",3890.96,"Standard",2013,7,0,0
"30",599341,"Canada","Quebec","Tremblant","H5Y2S9","Female","Bachelor",54890,"Married","Star",3891.54,"Standard",2015,11,0,0
"31",333502,"Canada","British Columbia","Vancouver","V5R1W3","Male","College",0,"Married","Star",3891.58,"Standard",2014,3,0,0
